"","predictor","Ngreen.pg_par","Ngreen.pg_p","Nsenes.pg_par","Nsenes.pg_p","Nroots.pg_par","Nroots.pg_p","Pgreen.pg_par","Pgreen.pg_p","Psenes.pg_par","Psenes.pg_p","Proots.pg_par","Proots.pg_p","log.LL.pg_par","log.LL.pg_p","root.L.pg_par","root.L.pg_p"
"10","(Intercept)","1.30e+00","0.00e+00","1.09e+00","0.00e+00","1.22e+00","0.00e+00","3.50e-01","6.83e-04","1.16e-01","6.25e-01","3.22e-01","8.43e-02","7.93e-01","1.47e-05","2.60e+00","4.38e-07"
"13","ECM","-7.35e-02","1.62e-06","-1.98e-01","5.21e-06","-1.20e-01","2.60e-03","-9.48e-02","4.94e-04","-8.08e-02","4.27e-01","-4.60e-02","5.91e-01","6.05e-02","2.72e-01","1.32e-01","4.26e-01"
"14","nfix","1.04e-01","3.02e-07","2.07e-01","6.63e-03","1.88e-01","4.20e-04","-6.89e-02","7.20e-02","-1.32e-01","4.06e-01","9.92e-03","9.31e-01","1.11e-02","8.94e-01"," NA"," NA"
"15","gymnosperm","-1.02e-01","3.61e-01","-2.73e-01","3.21e-06","-1.15e-01","1.97e-01","-1.16e-01","3.81e-01","-4.25e-01","1.66e-01","-2.07e-01","3.55e-01","5.04e-01","3.60e-02","-6.23e-02","8.98e-01"
"12","MAT","-1.32e-03","1.56e-01","-1.21e-02","7.73e-03","-6.88e-03","2.42e-02","-6.11e-03","1.37e-03","-2.30e-02","7.23e-03","-2.42e-02","3.45e-03","1.18e-02","9.18e-03","-1.70e-02","1.83e-04"
"11","MAP","-7.87e-06","1.08e-01","2.13e-06","9.28e-01","9.97e-06","6.31e-01","-4.16e-05","1.02e-04","-2.47e-04","2.14e-09","-8.52e-05","9.28e-02","4.78e-05","7.21e-02","-1.09e-04","4.23e-01"
"1","Boreal_forest","-9.31e-02","7.78e-02","-2.08e-02","9.28e-01","-3.17e-02","8.37e-01","-3.69e-02","8.22e-01","-3.06e-01","3.44e-01"," NA"," NA","2.43e-01","1.61e-01","2.33e-01","4.01e-05"
"2","Desert","-2.22e-02","2.43e-01","1.17e-01","2.88e-01","3.57e-02","6.68e-01","-3.09e-02","4.63e-01","1.59e-01","5.01e-01","9.86e-01","3.05e-03","1.10e-02","9.19e-01"," NA"," NA"
"3","Mangrove","-2.96e-02","8.16e-01"," NA"," NA"," NA"," NA"," NA"," NA"," NA"," NA"," NA"," NA"," NA"," NA"," NA"," NA"
"4","Mediterranean_woodland","-3.31e-02","5.00e-02","4.82e-02","5.80e-01","1.05e-01","3.95e-01","-1.82e-01","1.78e-05","1.03e-01","4.50e-01","2.17e-01","4.41e-01","4.76e-02","4.25e-01","-3.25e-01","3.13e-07"
"5","Montane_grass_savannah","2.29e-02","3.76e-01","3.40e-01","1.59e-01","-7.37e-02","3.70e-01","-2.71e-03","9.56e-01","7.42e-01","1.36e-01","-1.64e-01","2.62e-01"," NA"," NA"," NA"," NA"
"6","Temperate_grass_savannah","-3.30e-02","1.53e-01","8.80e-02","4.48e-01","-3.51e-02","6.30e-01","-1.13e-01","1.46e-02"," NA"," NA","2.40e-01","3.60e-01","6.74e-02","4.78e-01","-2.07e-01","7.01e-02"
"7","Tropical_forest","1.51e-02","2.67e-01","1.38e-01","6.04e-02","9.02e-02","3.53e-02","-3.32e-02","2.48e-01","3.73e-01","5.19e-03","2.89e-02","8.31e-01","-1.55e-01","6.13e-02","7.95e-02","6.20e-01"
"8","Tropical_grass_savannah","-3.91e-02","5.33e-02","-1.92e-01","2.24e-01","-1.42e-01","3.05e-01","-1.73e-01","2.48e-04","1.29e-01","6.59e-01","7.30e-02","7.55e-01","-3.76e-01","1.45e-03"," NA"," NA"
"9","Tundra","-9.30e-03","8.11e-01","-1.23e-01","2.66e-01","-2.40e-01","5.29e-03","-1.75e-01","1.98e-02","-5.01e-01","9.35e-03","-3.74e-01","5.35e-03","-1.55e-01","2.21e-01"," NA"," NA"
